SiteId,SiteName,Rainfall24hr,DataSourceAgency,MonitorDate
65,宜蘭,0,行政院環保署,2016-11-13
65,宜蘭,0,行政院環保署,2016-11-12
65,宜蘭,0,行政院環保署,2016-11-11
65,宜蘭,3,行政院環保署,2016-11-10
65,宜蘭,4.2,行政院環保署,2016-11-9
65,宜蘭,4.2,行政院環保署,2016-11-8
65,宜蘭,5.8,行政院環保署,2016-11-7
65,宜蘭,4.4,行政院環保署,2016-11-6
65,宜蘭,0,行政院環保署,2016-11-5
65,宜蘭,25.2,行政院環保署,2016-11-4
65,宜蘭,8.2,行政院環保署,2016-11-3
65,宜蘭,1.4,行政院環保署,2016-11-2
65,宜蘭,21.8,行政院環保署,2016-11-1
64,陽明,19.8,行政院環保署,2016-11-30
64,陽明,4.6,行政院環保署,2016-11-29
64,陽明,0,行政院環保署,2016-11-28
64,陽明,24.2,行政院環保署,2016-11-27
64,陽明,25.8,行政院環保署,2016-11-26
64,陽明,17.8,行政院環保署,2016-11-25
64,陽明,47,行政院環保署,2016-11-24
64,陽明,79.6,行政院環保署,2016-11-23
64,陽明,55.6,行政院環保署,2016-11-22
64,陽明,11.2,行政院環保署,2016-11-21
64,陽明,19.4,行政院環保署,2016-11-20
64,陽明,0,行政院環保署,2016-11-19
64,陽明,0.2,行政院環保署,2016-11-18
64,陽明,0.2,行政院環保署,2016-11-17
64,陽明,2.2,行政院環保署,2016-11-16
64,陽明,2.4,行政院環保署,2016-11-15
64,陽明,0,行政院環保署,2016-11-14
64,陽明,0,行政院環保署,2016-11-13
64,陽明,0,行政院環保署,2016-11-12
64,陽明,0,行政院環保署,2016-11-11
64,陽明,12.6,行政院環保署,2016-11-10
64,陽明,27.2,行政院環保署,2016-11-9
64,陽明,54.8,行政院環保署,2016-11-8
64,陽明,0,行政院環保署,2016-11-7
64,陽明,0,行政院環保署,2016-11-6
64,陽明,0.2,行政院環保署,2016-11-5
64,陽明,9.2,行政院環保署,2016-11-4
64,陽明,22,行政院環保署,2016-11-3
64,陽明,22.8,行政院環保署,2016-11-2
64,陽明,52.8,行政院環保署,2016-11-1
63,花蓮,3.2,行政院環保署,2016-11-30
63,花蓮,1,行政院環保署,2016-11-29
63,花蓮,0,行政院環保署,2016-11-28
63,花蓮,48,行政院環保署,2016-11-27
63,花蓮,5.6,行政院環保署,2016-11-26
63,花蓮,1,行政院環保署,2016-11-25
63,花蓮,2.4,行政院環保署,2016-11-24
63,花蓮,37.4,行政院環保署,2016-11-23
63,花蓮,35,行政院環保署,2016-11-22
63,花蓮,6.4,行政院環保署,2016-11-21
63,花蓮,10.6,行政院環保署,2016-11-20
63,花蓮,0,行政院環保署,2016-11-19
63,花蓮,0.2,行政院環保署,2016-11-18
63,花蓮,0,行政院環保署,2016-11-17
63,花蓮,0,行政院環保署,2016-11-16
63,花蓮,0.4,行政院環保署,2016-11-15
63,花蓮,0,行政院環保署,2016-11-14
63,花蓮,0,行政院環保署,2016-11-13
63,花蓮,0,行政院環保署,2016-11-12
63,花蓮,5.4,行政院環保署,2016-11-11
63,花蓮,0,行政院環保署,2016-11-10
63,花蓮,0,行政院環保署,2016-11-9
63,花蓮,0,行政院環保署,2016-11-8
63,花蓮,56.6,行政院環保署,2016-11-7
63,花蓮,0,行政院環保署,2016-11-6
63,花蓮,0,行政院環保署,2016-11-5
63,花蓮,0,行政院環保署,2016-11-4
63,花蓮,0,行政院環保署,2016-11-3
63,花蓮,0,行政院環保署,2016-11-2
63,花蓮,0,行政院環保署,2016-11-1
62,臺東,25,行政院環保署,2016-11-30
62,臺東,0.2,行政院環保署,2016-11-29
62,臺東,1,行政院環保署,2016-11-28
